10	55.07%	100.00%	55.07%
110	69.57%	100.00%	69.57%
210	72.46%	100.00%	72.46%
310	72.46%	100.00%	72.46%
410	71.01%	100.00%	71.01%
510	72.46%	100.00%	72.46%
610	71.01%	100.00%	71.01%
710	69.57%	100.00%	69.57%
810	68.12%	100.00%	68.12%
910	69.57%	100.00%	69.57%
1010	69.57%	100.00%	69.57%
1110	71.01%	100.00%	71.01%
1210	72.46%	100.00%	72.46%
1310	72.46%	100.00%	72.46%
1410	72.46%	100.00%	72.46%
1510	73.91%	100.00%	73.91%
1610	71.01%	100.00%	71.01%
1710	71.01%	100.00%	71.01%
1810	72.46%	100.00%	72.46%
1910	72.46%	100.00%	72.46%
2010	72.46%	100.00%	72.46%
2110	71.01%	100.00%	71.01%
2210	71.01%	100.00%	71.01%
2310	71.01%	100.00%	71.01%
2410	72.46%	100.00%	72.46%
2510	72.46%	100.00%	72.46%
2610	72.46%	100.00%	72.46%
2710	72.46%	100.00%	72.46%
2810	72.46%	100.00%	72.46%
2910	72.46%	100.00%	72.46%
3010	72.46%	100.00%	72.46%
3110	72.46%	100.00%	72.46%
3210	72.46%	100.00%	72.46%
3310	72.46%	100.00%	72.46%
3410	71.01%	100.00%	71.01%
3510	71.01%	100.00%	71.01%
3610	71.01%	100.00%	71.01%
3710	71.01%	100.00%	71.01%
3810	71.01%	100.00%	71.01%
3910	69.57%	100.00%	69.57%
4010	69.57%	100.00%	69.57%
4110	69.57%	100.00%	69.57%
4210	69.57%	100.00%	69.57%
4310	69.57%	100.00%	69.57%
4410	69.57%	100.00%	69.57%
4510	69.57%	100.00%	69.57%
4610	69.57%	100.00%	69.57%
4710	69.57%	100.00%	69.57%
4810	69.57%	100.00%	69.57%
4910	69.57%	100.00%	69.57%
5010	69.57%	100.00%	69.57%
5110	69.57%	100.00%	69.57%
5210	69.57%	100.00%	69.57%
5310	69.57%	100.00%	69.57%
5410	69.57%	100.00%	69.57%
5510	69.57%	100.00%	69.57%
5610	69.57%	100.00%	69.57%
5710	69.57%	100.00%	69.57%
5810	68.12%	100.00%	68.12%
5910	68.12%	100.00%	68.12%
6010	68.12%	100.00%	68.12%
6110	68.12%	100.00%	68.12%
6210	68.12%	100.00%	68.12%
6310	68.12%	100.00%	68.12%
6410	69.57%	100.00%	69.57%
6510	69.57%	100.00%	69.57%
6610	69.57%	100.00%	69.57%
6710	69.57%	100.00%	69.57%
6810	69.57%	100.00%	69.57%
6910	69.57%	100.00%	69.57%
7010	69.57%	100.00%	69.57%
7110	69.57%	100.00%	69.57%
7210	69.57%	100.00%	69.57%
7310	68.12%	100.00%	68.12%
7410	68.12%	100.00%	68.12%
7510	68.12%	100.00%	68.12%
7610	68.12%	100.00%	68.12%
7710	68.12%	100.00%	68.12%
7810	68.12%	100.00%	68.12%
7910	68.12%	100.00%	68.12%
8010	68.12%	100.00%	68.12%
8110	68.12%	100.00%	68.12%
8210	68.12%	100.00%	68.12%
8310	68.12%	100.00%	68.12%
8410	68.12%	100.00%	68.12%
8510	68.12%	100.00%	68.12%
8610	68.12%	100.00%	68.12%
8710	68.12%	100.00%	68.12%
8810	68.12%	100.00%	68.12%
8910	68.12%	100.00%	68.12%
9010	68.12%	100.00%	68.12%
9110	68.12%	100.00%	68.12%
9210	68.12%	100.00%	68.12%
9310	68.12%	100.00%	68.12%
9410	68.12%	100.00%	68.12%
9510	68.12%	100.00%	68.12%
9610	68.12%	100.00%	68.12%
9710	68.12%	100.00%	68.12%
9810	68.12%	100.00%	68.12%
9910	68.12%	100.00%	68.12%
10010	68.12%	100.00%	68.12%
10110	68.12%	100.00%	68.12%
10210	68.12%	100.00%	68.12%
10310	68.12%	100.00%	68.12%
10410	68.12%	100.00%	68.12%
10510	68.12%	100.00%	68.12%
10610	68.12%	100.00%	68.12%
10710	68.12%	100.00%	68.12%
10810	68.12%	100.00%	68.12%
10910	68.12%	100.00%	68.12%
11010	68.12%	100.00%	68.12%
11110	68.12%	100.00%	68.12%
11210	68.12%	100.00%	68.12%
11310	68.12%	100.00%	68.12%
11410	68.12%	100.00%	68.12%
11510	68.12%	100.00%	68.12%
11610	68.12%	100.00%	68.12%
11710	68.12%	100.00%	68.12%
11810	68.12%	100.00%	68.12%
11910	68.12%	100.00%	68.12%
12010	68.12%	100.00%	68.12%
12110	68.12%	100.00%	68.12%
12210	68.12%	100.00%	68.12%
12310	68.12%	100.00%	68.12%
12410	66.67%	100.00%	66.67%
12510	66.67%	100.00%	66.67%
12610	66.67%	100.00%	66.67%
12710	66.67%	100.00%	66.67%
12810	66.67%	100.00%	66.67%
12910	66.67%	100.00%	66.67%
13010	65.22%	100.00%	65.22%
13110	68.12%	100.00%	68.12%
13210	66.67%	100.00%	66.67%
13310	63.77%	100.00%	63.77%
13410	66.67%	100.00%	66.67%
13510	69.57%	100.00%	69.57%
13610	68.12%	100.00%	68.12%
13710	68.12%	100.00%	68.12%
13810	66.67%	100.00%	66.67%
13910	66.67%	100.00%	66.67%
14010	66.67%	100.00%	66.67%
14110	66.67%	100.00%	66.67%
